"Headline","Publisher","Date"
"Government keen to set up Parliamentary Budget Office, an independent watchdog to cost election policies, but National reject idea","Stuff.co.nz","2019-08-22"
"'Fiscal watchdog': Political party policies to be analysed independently in 2020","Newshub","2019-08-22"
"A new independent costing unit means 'fewer political games,' according to Minister","New Zealand Herald","2019-08-22"
"Neo-nazis sell hardcover copies of alleged Christchurch mosque shooter's manifesto online","New Zealand Herald","2019-08-22"
"Car carrying three people plunges into water, driver swims from scene","Stuff.co.nz","2019-08-22"
"Car plunges into Otago Harbour, driver attempts to swim from scene","New Zealand Herald","2019-08-22"
"Injured man spends over an hour missing in water after car plunges into Dunedin harbour","TVNZ","2019-08-22"
"Driver found after car goes into harbour","Otago Daily Times","2019-08-22"
"Fleeing driver had hypothermia and risked drowning - Coastguard","Otago Daily Times","2019-08-22"
"Christchurch council urged to 'do the right thing' over social housing insulation","Stuff.co.nz","2019-08-22"
"Flood on Auckland's North Shore caused by poor pipe connections - expert","Stuff.co.nz","2019-08-22"
"Heavy rain sees more than 20mm fall on Auckland's North Shore, garage flooded","Stuff.co.nz","2019-08-22"
"Heavy rain causes flooding in Auckland - more rain expected tonight","New Zealand Herald","2019-08-22"
"Shopper collapses after clash over supermarket trolley in Dunedin","Stuff.co.nz","2019-08-22"
"'I couldn't breathe': Shopper collapses over argument over supermarket trolley","Yahoo News Australia","2019-08-22"
"Man seriously hurt in Oamaru","Stuff.co.nz","2019-08-22"
"Police seeking Flaxmere man to help investigation into death of Kathleen Kawana","New Zealand Herald","2019-08-22"
"Flaxmere man sought in Kathleen Kawana 'unexplained' death investigation","Stuff.co.nz","2019-08-22"
"Police 'urgently' seeking man, as investigation into woman's unexplained death in Ruatoria continues","TVNZ","2019-08-22"
"East Coast man could help explain mystery death, police say","New Zealand Herald","2019-08-22"
"Road safety advocate: 'Double standards' around speeding in passing lanes","Stuff.co.nz","2019-08-22"
"Speeding while overtaking ruled legal - The Bay's News First","SunLive","2019-08-22"
"Secondary principals offered 14.5 per cent pay increase","Stuff.co.nz","2019-08-22"
"Strike vote by secondary principals suspended","Stuff.co.nz","2019-08-22"
"High-risk child sex offender with HIV to be strictly monitored after release","TVNZ","2019-08-22"
"High-risk child sex offender Laken McKay to be monitored after release from prison","Stuff.co.nz","2019-08-22"
"Extended Supervision for repeat child sex offender","Otago Daily Times","2019-08-22"
"Extensive supervision order granted to strictly monitor 'high risk' HIV positive recidivist child sex offender","New Zealand Herald","2019-08-22"
"High-risk child sex offender to be strictly monitored after September release","RNZ","2019-08-22"
"Principal says students in lockdown saw Christchurch livestream","Newshub","2019-08-22"
"School staff praised for actions in 'unprecedented and challenging' lockdown","Stuff.co.nz","2019-08-22"
"Christchurch shooting: Parents assaulting staff, lack of communication among weaknesses identified in school lockdown review","Newshub","2019-08-22"
"'My son is my hero'; Hamilton mum praises son who alerted family to blaze","New Zealand Herald","2019-08-22"
"Home gutted after sleeping Hamilton family wake to bedroom blaze","Stuff.co.nz","2019-08-22"
"'The three of us would have been dead': Hamilton family flees blaze with seconds to spare","New Zealand Herald","2019-08-22"
"Threat to kill alleged over $10k flat Earth bet","Otago Daily Times","2019-08-22"
"New Zealand has two dead centres - a plaque now marks the 2nd spot","Stuff.co.nz","2019-08-22"
"'They have been heard': Jacinda Ardern denies snubbing Ihumatao march","New Zealand Herald","2019-08-23"
"Ihumatao protesters banned from Parliament by Speaker Trevor Mallard","Stuff.co.nz","2019-08-23"
"Ihumatao hikoi marches to prime minister Jacinda Ardern's office","New Zealand Herald","2019-08-23"
"Tamariki present 26000-strong petition calling for Jacinda Ardern to visit Ihumatao","TVNZ","2019-08-23"
"As it happened: Ihumatao protesters hikoi to Prime Minister Jacinda Ardern's office","Newshub","2019-08-23"
"Tainui to buy Ihumatao land - sources","Newshub","2019-08-23"
"Ihumatao: Protest leader Pania Newton questions reports Tainui is set to buy land","Stuff.co.nz","2019-08-23"
"Ihumatao protest won't 'simply fade away' - historian","Newshub","2019-08-23"
"Speaker to look into conflict of interest in law submissions","Stuff.co.nz","2019-08-23"
"Man dies after being hit by car in North Canterbury","Stuff.co.nz","2019-08-23"
"Pedestrian dies after being hit by car in Canterbury","TVNZ","2019-08-23"
"Person dies after being hit by car in Canterbury","TVNZ","2019-08-23"
"Magnitude 4.5 earthquake felt by more than 2500 people in central New Zealand","TVNZ","2019-08-23"
"Earthquake felt in South Island and central North Island","Stuff.co.nz","2019-08-23"
"Earthquake rattles Wellington","Newshub","2019-08-23"
"Quake near Seddon, felt in Wellington","RNZ","2019-08-23"
"Magnitude 4.5 earthquake felt by more than 2500 in central New Zealand","TVNZ","2019-08-23"
"'Severe' thunderstorm warning, possible tornadoes for upper North Island","Stuff.co.nz","2019-08-23"
"Aucklanders are being warned to brace for another stormy night - 22-Aug-2019 - NZ Environment news","NZCity","2019-08-23"
"Auckland storm sees Sylvia Park mall flooded, with possibility of tornadoes on way","Stuff.co.nz","2019-08-23"
"Weather: Power outages, fierce winds expected in north of country","Newshub","2019-08-23"
"Weather: Vicious thunderstorms, strong gusts to strike North Island, tornadoes possible","Newshub","2019-08-23"
"Fullers ferry crash: Teacher's brain injuries prevent return to work","New Zealand Herald","2019-08-23"
"Maori King tells people to stop blaming Government over child uplifts","Newshub","2019-08-23"
"Maori King Tuheitia addresses Oranga Tamariki, Ihumatao in speech","Stuff.co.nz","2019-08-23"
"Maori King challenges his people to take care of 'our tamariki', not blame Government if they're taken into care","TVNZ","2019-08-23"
"Auckland Council pulls the rug on freedom campaign rules for now","New Zealand Herald","2019-08-23"
"Auckland freedom camping plans pushed back again","Stuff.co.nz","2019-08-23"
"Associate Transport Minister Julie Anne Genter slams John Tamihere's 18-lane bridge plan","New Zealand Herald","2019-08-23"
"Man who punched James Shaw wanted to talk about abortion","New Zealand Herald","2019-08-23"
"Attack on James Shaw over Green party abortion policies","Stuff.co.nz","2019-08-23"
"Man who punched James Shaw named","Newstalk ZB","2019-08-23"
"Green Party co-leader James Shaw recalls moment he was attacked","New Zealand Herald","2019-08-23"
"Number of punches thrown in attack on James Shaw in dispute","Stuff.co.nz","2019-08-23"
"'Go old man, go!' Timaru police chase man on mobility scooter - but he won't stop","TVNZ","2019-08-23"
"'He's going for it': Mobility scooter hoons past police car during slow pursuit","Stuff.co.nz","2019-08-23"
"Scooter pursuit: Man on mobility scooter leads Timaru police on low-speed chase","New Zealand Herald","2019-08-23"
"Timaz hard! Mobility scooter man in police pursuit","Otago Daily Times","2019-08-23"
"Timaru man on mobility scooter chased by police says he had to get home to get dinner ready","Newshub","2019-08-23"
"Thunderstorms miss New Zealand but more rain on the way","Stuff.co.nz","2019-08-23"
"'September to remember' could bring cold, wild weather - NIWA","Newshub","2019-08-23"
"Rain has fallen every day in Auckland this month","Stuff.co.nz","2019-08-23"
"Weather: Rain and possible thunderstorms for some, but a dry weekend ahead","New Zealand Herald","2019-08-23"
"Thousands of lightning strikes hit North Island overnight","Newshub","2019-08-23"
"Police reveal new details of Levin prisoner escape as manhunt continues","TVNZ","2019-08-23"
"Police not following 'best practice' when trio escaped police custody","Stuff.co.nz","2019-08-23"
"Levin escape: Two officers were guarding four men","RNZ","2019-08-23"
"Levin manhunt: Police admit error after three inmates escaped from court","New Zealand Herald","2019-08-23"
"Police admit prisoners who escaped in Levin were not held 'with best practice'","Newshub","2019-08-23"
"Murder charge after man's body found in Tokoroa","Stuff.co.nz","2019-08-23"
"Man charged with murder over Waikato death","New Zealand Herald","2019-08-23"
"Man charged with murder after body found in Tokoroa","TVNZ","2019-08-23"
"Police investigation triggered after suspicious death in Tokoroa","Stuff.co.nz","2019-08-23"
"Police investigation underway after man's body found in Tokoroa","TVNZ","2019-08-23"
"Police release details of Levin prisoners who escaped custody as hunt continues","TVNZ","2019-08-23"
"Trio escape police custody, on the run in Levin","Otago Daily Times","2019-08-23"
"Manhunt under way after three prisoners escape police in Levin, hijack car","Stuff.co.nz","2019-08-23"
"Police officer restrained as three prisoners escape from custody while being transported in Levin","TVNZ","2019-08-23"
"Police in Levin hunt escaped offenders","RNZ","2019-08-23"
"Government to contact Ukraine over sale of accused Christchurch gunman's 'manifesto'","New Zealand Herald","2019-08-23"
"Christchurch shooting: Prime Minister says Government will contact Ukraine over sale of alleged gunman's manifesto","Newshub","2019-08-23"
"Govt to contact Ukraine over accused gunman's 'manifesto'","Otago Daily Times","2019-08-23"
