"Headline","Publisher","Date"
"Ihumatao live: Petition calling on Prime Minister Jacinda Ardern to visit protest site delivered","Stuff.co.nz","2019-08-23"
"Otago University academics shun smoking researcher","Otago Daily Times","2019-08-23"
"Maori smoking researcher Marewa Glover shunned over Philip Morris funding","Stuff.co.nz","2019-08-23"
"Marewa Glover hits back after being labelled mouthpiece for tobacco companies","TVNZ","2019-08-23"
"Smoking researcher Marewa Glover's organisation funded by tobacco giant Philip Morris","Newshub","2019-08-23"
"Smoking researcher shunned over Philip Morris funding","Newsroom","2019-08-23"
"Speaker to look into conflict of interest in law submissions","Stuff.co.nz","2019-08-23"
"Man dies after being hit by car in North Canterbury","Stuff.co.nz","2019-08-23"
"Pedestrian dies after being hit by car in Canterbury","TVNZ","2019-08-23"
"Person dies after being hit by car in Canterbury","TVNZ","2019-08-23"
"Magnitude 4.5 earthquake felt by more than 2500 people in central New Zealand","TVNZ","2019-08-23"
"Earthquake felt in South Island and central North Island","Stuff.co.nz","2019-08-23"
"Earthquake rattles Wellington","Newshub","2019-08-23"
"Quake near Seddon, felt in Wellington","RNZ","2019-08-23"
"New video reveals Titanic wreckage is disappearing","Newshub","2019-08-23"
"Titanic expedition dive shows wreckage is being lost to sea","Stuff.co.nz","2019-08-23"
"First Titanic expedition dive in 15 years reveals wreck being eaten by bacteria","TVNZ","2019-08-23"
"Watch: Titanic sub dive reveals rapid deteriorating","RNZ","2019-08-23"
"Kiwi leads first expedition to Titanic wreck in Atlantic in 14 years","New Zealand Herald","2019-08-23"
"Your weather: Thunderstorms, hail and heavy rain on the way","New Zealand Herald","2019-08-23"
"Auckland storm sees Sylvia Park mall flooded, with possibility of tornadoes on way","Stuff.co.nz","2019-08-23"
"Aucklanders are being warned to brace for another stormy night - 22-Aug-2019 - NZ Environment news","NZCity","2019-08-23"
"Weather: Power outages, fierce winds expected in north of country","Newshub","2019-08-23"
"'Severe' thunderstorm warning, possible tornadoes for upper North Island","Stuff.co.nz","2019-08-23"
"Maori King tells people to stop blaming Government over child uplifts","Newshub","2019-08-23"
"Maori King Tuheitia addresses Oranga Tamariki, Ihumatao in speech","Stuff.co.nz","2019-08-23"
"Maori King challenges his people to take care of 'our tamariki', not blame Government if they're taken into care","TVNZ","2019-08-23"
"Auckland Council pulls the rug on freedom campaign rules for now","New Zealand Herald","2019-08-23"
"Auckland freedom camping plans pushed back again","Stuff.co.nz","2019-08-23"
"Associate Transport Minister Julie Anne Genter slams John Tamihere's 18-lane bridge plan","New Zealand Herald","2019-08-23"
"Number of punches thrown in attack on James Shaw in dispute","Stuff.co.nz","2019-08-23"
"Green Party co-leader James Shaw recalls moment he was attacked","New Zealand Herald","2019-08-23"
"Man who punched James Shaw named","Newstalk ZB","2019-08-23"
"Attack on James Shaw over Green party abortion policies","Stuff.co.nz","2019-08-23"
"Man who punched James Shaw wanted to talk about abortion","New Zealand Herald","2019-08-23"
"Weather: Rain and possible thunderstorms for some, but a dry weekend ahead","New Zealand Herald","2019-08-23"
"Thunderstorms miss New Zealand but more rain on the way","Stuff.co.nz","2019-08-23"
"Rain has fallen every day in Auckland this month","Stuff.co.nz","2019-08-23"
"'September to remember' could bring cold, wild weather - NIWA","Newshub","2019-08-23"
"Thousands of lightning strikes hit North Island overnight","Newshub","2019-08-23"
"Rugby World Cup: Rieko Ioane gets his chance for Eden Park redemption","Stuff.co.nz","2019-08-23"
"World Rugby drops gender from women's World Cup name","Newshub","2019-08-23"
"Rugby World Cup 2019: Rieko Ioane's plan to get back into the All Blacks starting XV","New Zealand Herald","2019-08-23"
